date,Technology,Financials,Healthcare,Energy,ConsumerDiscret,ConsumerStaples,Industrials,Materials,Utilities,RealEstate,Communication,SP500,NASDAQ,DowJones,VIX,TBond10Y,SP500_return,NASDAQ_return,DowJones_return,VIX_return,TBond10Y_return,year,month,weekday,crisis_dotcom,crisis_gfc,crisis_covid,crisis_rate_hike
2006-11-29,0.0037164926718035174,0.005469177660167956,0.008030464307753338,0.02741248222745496,0.008040171278387631,0.005996106483291371,0.009113675888280225,0.012483591369540767,0.011377340563139571,0.016355031663547237,0.007651195287997199,12226.73046875,1399.47998046875,2432.22998046875,4.520999908447266,10.829999923706055,0.007438770973770437,0.009201576407062984,0.008132218706420336,0.002661362694687419,-0.06798622802353127,2006,11,2,0,0,0,0
2006-11-30,0.0023719258304526593,-0.0057106897266033015,0.0022214453218247034,0.004917757054265032,0.002033305174969413,-0.005678194297838866,-0.0013601216628543523,0.007421738297272452,0.0006644646314932668,0.010441853146950708,0.004495745749156899,12221.9296875,1400.6300048828125,2431.77001953125,4.458000183105469,10.90999984741211,-0.000392646363005289,0.0008217512433992269,-0.00018911079182215573,-0.01393490966989075,0.0073868812806674455,2006,11,3,0,0,0,0
2006-12-01,-0.016267942356146547,-0.003574102759455611,0.0006042994358867028,0.0032181137074291516,-0.0013228137919349126,-0.0005635417040928465,-0.0076480509701481346,-0.006938965033710893,0.00271487667929432,-0.005713325947400483,-0.0005231273170712147,12194.1298828125,1396.7099609375,2413.2099609375,4.425000190734863,11.65999984741211,-0.00227458391582247,-0.002798771932377986,-0.007632324785930011,-0.007402420595599368,0.06874427227218538,2006,12,4,0,0,0,0
2006-12-04,0.01961910994301015,0.013840626297153191,-0.003528798874594933,-0.002337199845569987,0.0024803452833948025,0.0114257783682891,0.010023999139969186,0.0171210903003521,0.010625759152918102,0.014226488949671767,0.003258225608792631,12283.849609375,1409.1199951171875,2448.389892578125,4.433000087738037,11.229999542236328,0.007357616117322108,0.00888519057411008,0.014578064988161277,0.0018078862504737891,-0.036878242778984105,2006,12,0,0,0,0,0
2006-12-05,0.0013388961216766692,0.004698981380254141,0.003504076090895314,0.001704917296563635,0.004537804396542264,0.0076429883868318,0.0024668855917759137,0.0062265824228796805,0.004089085309853147,-0.005868924291317945,0.009804961903107331,12331.599609375,1414.760009765625,2452.3798828125,4.441999912261963,11.270000457763672,0.0038872178932862766,0.00400250842226435,0.0016296384193015268,0.0020301882124522663,0.0035619694708712846,2006,12,1,0,0,0,0
2006-12-06,-0.005544548464286536,0.0026178741120207794,0.00038968526524056174,-0.00199911851606506,-0.00247126926463552,-0.001598579943959165,0.001414940123909303,0.0005421395054908067,-0.004293808923581943,0.0006051256863485177,-0.00033116167586205725,12309.25,1412.9000244140625,2445.860107421875,4.480999946594238,11.329999923706055,-0.001812385260871463,-0.0013147002592126533,-0.0026585503478963046,0.008779836808329833,0.005323821074119772,2006,12,2,0,0,0,0
2006-12-07,-0.013189975590364555,-0.004036251516280542,-0.002746235510465945,-0.005766024717998378,-0.01262741536434929,-0.0032305404911660623,-0.004543297949470615,0.0033386319370149772,-0.00490645226783012,-0.007231984847906459,-0.00781770409508666,12278.41015625,1407.2900390625,2427.68994140625,4.482999801635742,12.670000076293945,-0.0025054202124418223,-0.003970546574156186,-0.007428947371310501,0.0004462966001648194,0.11827009369913344,2006,12,3,0,0,0,0
2006-12-08,0.0040860434994997915,0.004000773020486559,0.002042471542160837,-0.0012012541270296773,0.0018378088399568365,0.0047129040360022805,0.0001885539988250029,-2.7457127064484726e-05,-0.0008358129997389496,-0.000727090183970236,0.006318937756592795,12307.490234375,1409.8399658203125,2437.360107421875,4.552000045776367,12.069999694824219,0.002368391164241812,0.001811941168510689,0.003983278857276007,0.015391534060618994,-0.04735598878111691,2006,12,4,0,0,0,0
2006-12-11,0.0015787383842122526,0.0029049837659700373,-0.001203971033210041,-0.0006167029826727038,0.0024397062818567045,-0.0014645051796760874,-0.0022087011628388665,-0.0022807947003441096,0.004863803001467382,0.007118718227443799,0.010600654715782995,12328.48046875,1413.0400390625,2442.860107421875,4.519999980926514,10.710000038146973,0.0017054845443935651,0.002269813113380925,0.0022565397633498296,-0.007029891152910972,-0.1126760307426049,2006,12,0,0,0,0,0
2006-12-12,-0.003845696203197302,-0.0005152717688228003,-0.000255374377404786,-0.0016511052515428143,-0.009881572847577486,0.0011939756535194438,-0.004041861156690108,-0.014481733510934501,0.006200889338835646,-0.0036242878710906145,0.002799632087630973,12315.580078125,1411.56005859375,2431.60009765625,4.491000175476074,10.649999618530273,-0.0010463893468217744,-0.0010473733424651854,-0.00460935512902072,-0.00641588618867539,-0.0056022800563014785,2006,12,1,0,0,0,0
2006-12-13,0.002560340803827987,0.005679523496741323,-0.001784693985171954,0.009809028566359096,-0.0009433224195559003,0.0014565191852129826,-0.004728264398057147,0.004322721989066864,0.0046100447880455305,-0.0033819992954889355,-0.0004771387262532863,12317.5,1413.2099609375,2432.409912109375,4.577000141143799,10.180000305175781,0.00015589374295177372,0.0011688502615989638,0.0003330376791419454,0.019149401538067767,-0.04413139250603593,2006,12,2,0,0,0,0
2006-12-14,0.020988500667584575,0.009534595153151004,0.008466949797250009,0.020610273381189398,0.018598103138342287,0.003259253425756281,0.003640013338145376,0.002966242284468167,0.003677615678349322,0.0044855510848429755,0.0002550407497475445,12416.759765625,1425.489990234375,2453.85009765625,4.59499979019165,9.970000267028809,0.008058434392125058,0.008689458492585622,0.008814380109264608,0.003932630214722677,-0.0206286868223573,2006,12,3,0,0,0,0
2006-12-15,-0.002132143547169396,0.0018156746219518348,0.005016242771977961,-0.008961249193273263,-0.0025159955918191423,0.00034330856195716495,0.00297603724690948,-0.0005518737588630332,-0.0014804509613420725,-0.00315445663274424,-0.0015324423027825995,12445.51953125,1427.0899658203125,2457.199951171875,4.5970001220703125,10.050000190734863,0.0023162053682168615,0.0011224039431343424,0.001365141871878972,0.00043532795865020013,0.008024064349388071,2006,12,4,0,0,0,0
2006-12-18,-0.0026702430744459773,0.007434945554782324,-0.0030951303644084246,-0.03000768362202376,-0.004910836132330426,0.0013391135646024048,0.000639649739213477,-0.008462681681462667,-0.007029340675545415,-0.012417628594752938,-0.01090093801660752,12441.26953125,1422.47998046875,2435.570068359375,4.586999893188477,10.600000381469727,-0.00034148835565506186,-0.00323033968563613,-0.00880265474618147,-0.0021753814697164087,0.05472638609916758,2006,12,0,0,0,0,0
